time	I(L1)
1.320340339376135e-001	-2.697421e-002
1.330580339376145e-001	-1.534385e-002
1.332041767947575e-001	-1.369955e-002
1.333503196519005e-001	-1.206060e-002
1.334964625090435e-001	-1.042700e-002
1.336426053661865e-001	-8.798764e-003
1.337887482233295e-001	-7.175878e-003
1.339348910804725e-001	-5.558346e-003
1.340810339376155e-001	-3.946168e-003
1.340820339376155e-001	-3.935162e-003
1.341348910804727e-001	-3.353774e-003
1.341877482233299e-001	-2.773231e-003
1.342406053661871e-001	-2.193533e-003
1.342934625090443e-001	-1.614679e-003
1.343463196519015e-001	-1.036669e-003
1.343991767947587e-001	-4.595046e-004
1.344520339376159e-001	1.168157e-004
1.345453196519017e-001	1.131881e-003
1.346386053661875e-001	2.143998e-003
1.347318910804733e-001	3.153168e-003
1.348251767947591e-001	4.159390e-003
1.349184625090449e-001	5.162665e-003
1.350117482233307e-001	6.162992e-003
1.351050339376165e-001	7.160372e-003
1.351060339376165e-001	7.171045e-003
1.352521767947595e-001	8.727455e-003
1.353983196519025e-001	1.027541e-002
1.355444625090455e-001	1.181491e-002
1.356906053661885e-001	1.334596e-002
1.358367482233316e-001	1.486855e-002
1.359828910804745e-001	1.638269e-002
1.361290339376176e-001	1.788838e-002
1.361300339376176e-001	1.789865e-002
1.362761767947606e-001	1.939507e-002
1.364223196519036e-001	2.088164e-002
1.365684625090466e-001	2.235837e-002
1.367146053661896e-001	2.382525e-002
1.368607482233326e-001	2.528229e-002
1.370068910804756e-001	2.672948e-002
1.371530339376186e-001	2.816683e-002
1.371540339376186e-001	2.817662e-002
1.381780339376196e-001	3.793948e-002
1.392020339376206e-001	4.712756e-002
1.402260339376217e-001	5.568733e-002
1.412500339376227e-001	6.357165e-002
1.422740339376237e-001	7.073992e-002
1.432980339376247e-001	7.715816e-002
1.443220339376257e-001	8.279915e-002
1.453460339376268e-001	8.764242e-002
1.463700339376278e-001	9.167416e-002
1.473940339376288e-001	9.488720e-002
1.484180339376298e-001	9.728084e-002
1.494420339376309e-001	9.886064e-002
1.504660339376319e-001	9.963826e-002
1.514900339376329e-001	9.963112e-002
1.516361767947759e-001	9.956718e-002
1.517823196519189e-001	9.948799e-002
1.519284625090619e-001	9.939354e-002
1.520746053662049e-001	9.928385e-002
1.522207482233479e-001	9.915891e-002
1.523668910804909e-001	9.901872e-002
1.525130339376339e-001	9.886327e-002
1.525140339376339e-001	9.886216e-002
1.526434625090626e-001	9.871194e-002
1.527728910804913e-001	9.855021e-002
1.529023196519200e-001	9.837698e-002
1.530317482233488e-001	9.819224e-002
1.531611767947775e-001	9.799601e-002
1.532906053662062e-001	9.778827e-002
1.534200339376348e-001	9.756903e-002
1.535380339376350e-001	9.735947e-002
1.536841767947780e-001	9.708677e-002
1.538303196519210e-001	9.680016e-002
1.539764625090640e-001	9.649963e-002
1.541226053662070e-001	9.618519e-002
1.542687482233500e-001	9.585684e-002
1.544148910804930e-001	9.551458e-002
1.545610339376360e-001	9.515841e-002
1.545620339376360e-001	9.515593e-002
1.547081767947790e-001	9.478612e-002
1.548543196519220e-001	9.440320e-002
1.550004625090650e-001	9.400717e-002
1.551466053662080e-001	9.359802e-002
1.552927482233510e-001	9.317577e-002
1.554388910804940e-001	9.274041e-002
1.555850339376370e-001	9.229194e-002
1.555860339376370e-001	9.228882e-002
1.566100339376380e-001	8.879942e-002
1.576340339376391e-001	8.473257e-002
1.586580339376401e-001	8.013618e-002
1.596820339376411e-001	7.506087e-002
1.607060339376421e-001	6.955940e-002
1.617300339376432e-001	6.368628e-002
1.627540339376442e-001	5.749726e-002
1.637780339376452e-001	5.104890e-002
1.648020339376462e-001	4.439806e-002
1.658260339376473e-001	3.760152e-002
1.668500339376483e-001	3.071552e-002
1.678740339376493e-001	2.379532e-002
1.688980339376503e-001	1.689486e-002
1.699220339376514e-001	1.006633e-002
1.700681767947944e-001	9.100243e-003
1.702143196519373e-001	8.137139e-003
1.703604625090804e-001	7.177017e-003
1.705066053662234e-001	6.219876e-003
1.706527482233664e-001	5.265717e-003
1.707988910805094e-001	4.314539e-003
1.709450339376524e-001	3.366343e-003
1.709460339376524e-001	3.359869e-003
1.710218910805096e-001	2.869198e-003
1.710977482233668e-001	2.379526e-003
1.711736053662240e-001	1.890853e-003
1.712494625090812e-001	1.403179e-003
1.713253196519385e-001	9.165025e-004
1.714011767947957e-001	4.308250e-004
1.714770339376529e-001	-5.385398e-005
1.715473196519387e-001	-5.019794e-004
1.716176053662245e-001	-9.491415e-004
1.716878910805103e-001	-1.395340e-003
1.717581767947961e-001	-1.840576e-003
1.718284625090818e-001	-2.284848e-003
1.718987482233676e-001	-2.728157e-003
1.719690339376534e-001	-3.170502e-003
1.719700339376534e-001	-3.176788e-003
1.721161767947964e-001	-4.093486e-003
1.722623196519394e-001	-5.005369e-003
