time	V(A,C)
1.269161592767990e-001	9.844208e-001
1.279401592768001e-001	9.710808e-001
1.289641592768011e-001	9.579215e-001
1.299881592768021e-001	9.449406e-001
1.310121592768031e-001	9.321361e-001
1.320361592768042e-001	9.195051e-001
1.330601592768052e-001	9.070454e-001
1.340841592768062e-001	8.947544e-001
1.351081592768072e-001	8.826303e-001
1.361321592768083e-001	8.706708e-001
1.371561592768093e-001	8.588734e-001
1.381801592768103e-001	8.472357e-001
1.392041592768113e-001	8.357563e-001
1.402281592768123e-001	8.244324e-001
1.412521592768134e-001	8.132620e-001
1.422761592768144e-001	8.022432e-001
1.433001592768154e-001	7.913737e-001
1.443241592768164e-001	7.806520e-001
1.453481592768175e-001	7.700753e-001
1.463721592768185e-001	7.596426e-001
1.473961592768195e-001	7.493510e-001
1.484201592768205e-001	7.391987e-001
1.494441592768216e-001	7.291846e-001
1.504681592768226e-001	7.193060e-001
1.514921592768236e-001	7.095613e-001
1.525161592768246e-001	6.999493e-001
1.535401592768257e-001	6.904674e-001
1.545641592768267e-001	6.811137e-001
1.555881592768277e-001	6.718874e-001
1.566121592768287e-001	6.627860e-001
1.576361592768298e-001	6.538081e-001
1.586601592768308e-001	6.449518e-001
1.596841592768318e-001	6.362157e-001
1.607081592768328e-001	6.275983e-001
1.617321592768339e-001	6.190977e-001
1.627561592768349e-001	6.107121e-001
1.637801592768359e-001	6.024404e-001
1.648041592768369e-001	5.942812e-001
1.658281592768379e-001	5.862322e-001
1.668521592768390e-001	5.782924e-001
1.678761592768400e-001	5.704608e-001
1.689001592768410e-001	5.627351e-001
1.699241592768420e-001	5.551138e-001
1.709481592768431e-001	5.475965e-001
1.719721592768441e-001	5.401807e-001
1.729961592768451e-001	5.328655e-001
1.740201592768461e-001	5.256500e-001
1.750441592768472e-001	5.185318e-001
1.760681592768482e-001	5.115104e-001
1.770921592768492e-001	5.045843e-001
1.781161592768502e-001	4.977517e-001
1.791401592768513e-001	4.910121e-001
1.801641592768523e-001	4.843640e-001
1.811881592768533e-001	4.778061e-001
1.822121592768543e-001	4.713368e-001
1.832361592768554e-001	4.649558e-001
1.842601592768564e-001	4.586606e-001
1.852841592768574e-001	4.524512e-001
1.863081592768584e-001	4.463263e-001
1.873321592768595e-001	4.402843e-001
1.883561592768605e-001	4.343238e-001
1.893801592768615e-001	4.284444e-001
1.904041592768625e-001	4.226451e-001
1.914281592768636e-001	4.169240e-001
1.924521592768646e-001	4.112806e-001
1.934761592768656e-001	4.057140e-001
1.945001592768666e-001	4.002223e-001
1.955241592768676e-001	3.948059e-001
1.965481592768687e-001	3.894625e-001
1.975721592768697e-001	3.841915e-001
1.985961592768707e-001	3.789921e-001
1.996201592768717e-001	3.738632e-001
2.006441592768728e-001	3.688040e-001
2.016681592768738e-001	3.638129e-001
2.026921592768748e-001	3.588901e-001
2.037161592768758e-001	3.540339e-001
2.047401592768769e-001	3.492436e-001
2.057641592768779e-001	3.445182e-001
2.067881592768789e-001	3.398566e-001
2.078121592768799e-001	3.352585e-001
2.088361592768810e-001	3.307228e-001
2.098601592768820e-001	3.262486e-001
2.108841592768830e-001	3.218350e-001
2.119081592768840e-001	3.174815e-001
2.129321592768851e-001	3.131866e-001
2.139561592768861e-001	3.089504e-001
2.149801592768871e-001	3.047714e-001
2.160041592768881e-001	3.006492e-001
2.170281592768892e-001	2.965827e-001
2.180521592768902e-001	2.925715e-001
2.190761592768912e-001	2.886147e-001
2.201001592768922e-001	2.847118e-001
2.211241592768933e-001	2.808614e-001
2.221481592768943e-001	2.770634e-001
2.231721592768953e-001	2.733173e-001
2.241961592768963e-001	2.696214e-001
2.252201592768973e-001	2.659760e-001
2.262441592768984e-001	2.623801e-001
2.272681592768994e-001	2.588325e-001
2.282921592769004e-001	2.553334e-001
2.293161592769014e-001	2.518816e-001
2.303401592769025e-001	2.484765e-001
2.313641592769035e-001	2.451181e-001
2.323881592769045e-001	2.418046e-001
2.334121592769055e-001	2.385364e-001
2.344361592769066e-001	2.353125e-001
2.354601592769076e-001	2.321324e-001
2.364841592769086e-001	2.289953e-001
2.375081592769096e-001	2.259007e-001
2.385321592769107e-001	2.228484e-001
2.395561592769117e-001	2.198372e-001
2.405801592769127e-001	2.168670e-001
2.416041592769137e-001	2.139368e-001
2.426281592769148e-001	2.110467e-001
2.436521592769158e-001	2.081957e-001
2.446761592769168e-001	2.053833e-001
2.457001592769178e-001	2.026086e-001
2.467241592769189e-001	1.998720e-001
2.477481592769199e-001	1.971726e-001
2.487721592769209e-001	1.945095e-001
2.497961592769219e-001	1.918831e-001
2.508201592769002e-001	1.892920e-001
2.518441592768728e-001	1.867356e-001
2.528681592768454e-001	1.842146e-001
2.538921592768180e-001	1.817274e-001
2.549161592767906e-001	1.792736e-001
2.559401592767632e-001	1.768537e-001
2.569641592767358e-001	1.744661e-001
2.579881592767084e-001	1.721115e-001
2.590121592766810e-001	1.697884e-001
2.600361592766536e-001	1.674967e-001
2.610601592766262e-001	1.652365e-001
2.620841592765988e-001	1.630068e-001
2.631081592765714e-001	1.608071e-001
2.641321592765440e-001	1.586375e-001
2.651561592765166e-001	1.564970e-001
2.661801592764892e-001	1.543860e-001
2.672041592764618e-001	1.523032e-001
2.682281592764344e-001	1.502490e-001
2.692521592764070e-001	1.482224e-001
2.702761592763796e-001	1.462235e-001
2.713001592763522e-001	1.442513e-001
2.723241592763248e-001	1.423063e-001
2.733481592762974e-001	1.403875e-001
2.743721592762700e-001	1.384950e-001
2.753961592762426e-001	1.366277e-001
2.764201592762152e-001	1.347861e-001
2.774441592761878e-001	1.329694e-001
2.784681592761604e-001	1.311769e-001
2.794921592761330e-001	1.294093e-001
2.805161592761056e-001	1.276655e-001
2.815401592760782e-001	1.259451e-001
2.825641592760508e-001	1.242485e-001
2.835881592760234e-001	1.225743e-001
2.846121592759960e-001	1.209235e-001
2.856361592759686e-001	1.192946e-001
2.866601592759412e-001	1.176882e-001
2.876841592759138e-001	1.161032e-001
2.887081592758864e-001	1.145396e-001
2.897321592758591e-001	1.129975e-001
2.907561592758317e-001	1.114764e-001
2.917801592758043e-001	1.099758e-001
2.928041592757769e-001	1.084952e-001
2.938281592757495e-001	1.070352e-001
2.948521592757221e-001	1.055946e-001
2.958761592756947e-001	1.041741e-001
2.969001592756673e-001	1.027722e-001
2.979241592756399e-001	1.013899e-001
2.989481592756125e-001	1.000261e-001
2.999721592755851e-001	9.868050e-002
3.009961592755577e-001	9.735346e-002
3.020201592755303e-001	9.604454e-002
3.030441592755029e-001	9.475327e-002
3.040681592754755e-001	9.347916e-002
3.050921592754481e-001	9.222269e-002
3.061161592754207e-001	9.098339e-002
3.071401592753933e-001	8.976078e-002
3.081641592753659e-001	8.855438e-002
3.091881592753385e-001	8.736467e-002
3.102121592753111e-001	8.619118e-002
3.112361592752837e-001	8.503342e-002
3.122601592752563e-001	8.389139e-002
3.132841592752289e-001	8.276510e-002
3.143081592752015e-001	8.165359e-002
3.153321592751741e-001	8.055735e-002
3.163561592751467e-001	7.947636e-002
3.173801592751193e-001	7.840967e-002
3.184041592750919e-001	7.735729e-002
3.194281592750645e-001	7.631969e-002
3.204521592750371e-001	7.529593e-002
3.214761592750097e-001	7.428598e-002
3.225001592749823e-001	7.328987e-002
3.235241592749549e-001	7.230711e-002
3.245481592749275e-001	7.133770e-002
3.255721592749001e-001	7.038116e-002
